movie_key,title,directors,stars,genre,runtime,grade,synopsis,violence_per,violence,nudity,word,alcohol
tt10451914,Outside the Wire,Mikael Håfström,Anthony Mackie Damson Idris Enzo Cilenti Emily Beecham,Action/ Adventure/ Fantasy,114,R,In the near future/ a drone pilot sent into a war zone finds himself paired with a top-secret android officer on a mission to stop a nuclear attack.,71.84%,3,3,1,no alcohol or smoking
tt9620292,Promising Young Woman,Emerald Fennell,Carey Mulligan Bo Burnham Alison Brie Clancy Brown,Crime/ Drama/ Thriller,113,15,A young woman/ traumatized by a tragic event in her past/ seeks out vengeance against those who crossed her path.,74.44%,0,3,0,drinking
tt9130508,Cherry,None,None,Crime/ Drama,,R,Directors:Anthony Russo/ Joe Russo|     Stars:Tom Holland/ Ciara Bravo/ Jack Reynor/ Forrest Goodluck,53.69%,0,0,0,no alcohol or smoking
tt10612922,One Night in Miami,Regina King,Kingsley Ben-Adir Eli Goree Aldis Hodge Leslie Odom Jr.,Drama,114,R,A fictional account of one incredible night where icons Muhammad Ali/ Malcolm X/ Sam Cooke/ and Jim Brown gathered discussing their roles in the Civil Rights Movement and cultural upheaval of the 60s.,73.34%,0,3,0,smoking and drinking
tt11161474,Pieces of a Woman,Kornél Mundruczó,Vanessa Kirby Shia LaBeouf Ellen Burstyn Iliza Shlesinger,Drama,126,R,When a young mother's home birth ends in unfathomable tragedy/ she begins a year-long odyssey of mourning that fractures relationships with loved ones in this deeply personal story of a woman learning to live alongside her loss.,71.74%,0,0,0,smoking and drinking
tt13061914,Locked Down,Doug Liman,Chiwetel Ejiofor Anne Hathaway Sonic Dulé Hill,Comedy/ Crime/ Romance,118,R,A couple attempts a high-risk/ high-stakes jewelry heist at a department store.,53.69%,0,3,0,smoking and drinking
tt6571548,The White Tiger,Ramin Bahrani,Adarsh Gourav Rajkummar Rao Priyanka Chopra Vedant Sinha,Crime/ Drama,125,R,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.,74.24%,3,1,0,smoking and drinking
tt9016974,Synchronic,Justin Benson Aaron Moorhead,Anthony Mackie Jamie Dornan Katie Aselton Ally Ioannides,Drama/ Horror/ Sci-Fi,102,R,Two New Orleans paramedics' lives are ripped apart after they encounter a series of horrific deaths linked to a designer drug with bizarre/ otherworldly effects.,53.69%,0,3,0,no alcohol or smoking
tt9686708,The King of Staten Island,Judd Apatow,Pete Davidson Bel Powley Ricky Velez Lou Wilson,Comedy/ Drama,136,R,Scott has been a case of arrested development since his firefighter dad died. He spends his days smoking weed and dreaming of being a tattoo artist until events force him to grapple with his grief and take his first steps forward in life.,77.41%,3,3,5,smoking and drinking
tt9794630,Hour of Lead,Peter Facinelli,Anne Heche Thomas Jane Jason Patric Alex Haydon,Action/ Mystery/ Thriller,95,R,Story of a husband and wife that will stop at nothing to find their missing daughter/ who disappeared on a family camping trip. When the police don't catch any leads/ the duo take over.,74.20%,3,3,0,drinking
tt10016180,The Little Things,John Lee Hancock,Denzel Washington Rami Malek Jared Leto Chris Bauer,Crime/ Drama/ Thriller,127,R,Two cops track down a serial killer.,72.63%,3,3,0,no alcohol or smoking
tt9770150,Nomadland,Chloé Zhao,Frances McDormand David Strathairn Linda May Gay DeForest,Drama,108,R,After losing everything in the Great Recession/ a woman embarks on a journey through the American West/ living as a van-dwelling modern-day nomad.,76.46%,0,3,2,smoking and drinking
tt9608818,The Friend,Gabriela Cowperthwaite,Jason Segel Isabella Kai Violet McGraw Casey Affleck,Drama,124,R,After receiving life-altering news/ a couple finds unexpected support from their best friend/ who puts his own life on hold and moves into their family home/ bringing an impact much greater and more profound than anyone could have imagined,53.69%,0,0,2,drinking
tt9893250,I Care a Lot,J Blakeson,Rosamund Pike Peter Dinklage Eiza González Dianne Wiest,Comedy/ Crime/ Thriller,118,R,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,53.69%,0,0,0,no alcohol or smoking
tt5363618,Sound of Metal,Darius Marder,Riz Ahmed Olivia Cooke Paul Raci Lauren Ridloff,Drama/ Music,120,R,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,72.84%,0,3,0,smoking and drinking
tt8367814,The Gentlemen,Guy Ritchie,Matthew McConaughey Charlie Hunnam Michelle Dockery Jeremy Strong,Action/ Comedy/ Crime,113,18,An American expat tries to sell off his highly profitable marijuana empire in London/ triggering plots/ schemes/ bribery and blackmail in an attempt to steal his domain out from under him.,81.74%,1,0,2,smoking and drinking
tt6751668,Gisaengchung,Bong Joon Ho,Kang-ho Song Lee Sun-kyun Cho Yeo-jeong Choi Woo-sik,Comedy/ Drama/ Thriller,132,15,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,76.19%,3,3,7,smoking and drinking
