title,directors,stars,genre,runtime,grade,synopsis
The Lion King,Roger Allers Rob Minkoff,Matthew Broderick Jeremy Irons James Earl Jones Whoopi Goldberg,Animation/ Adventure/ Drama,88 min,All,Lion prince Simba and his father are targeted by his bitter uncle/ who wants to ascend the throne himself.
Cars,John Lasseter Joe Ranft,Owen Wilson Bonnie Hunt Paul Newman Larry the Cable Guy,Animation/ Comedy/ Family,117 min,All,A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs/ where he finds the true meaning of friendship and family.
Toy Story 4,Josh Cooley,Tom Hanks Tim Allen Annie Potts Tony Hale,Animation/ Adventure/ Comedy,100 min,All,"When a new toy called ""Forky"" joins Woody and the gang/ a road trip alongside old and new friends reveals how big the world can be for a toy."
Ratatouille,Brad Bird Jan Pinkava,Brad Garrett Lou Romano Patton Oswalt Ian Holm,Animation/ Adventure/ Comedy,111 min,All,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.
Creature from the Black Lagoon,Jack Arnold,Richard Carlson Julie Adams Richard Denning Antonio Moreno,Horror/ Sci-Fi,79 min,None,A strange prehistoric beast lurks in the depths of the Amazonian jungle. A group of scientists try to capture the animal and bring it back to civilization for study.
The Sound of Music,Robert Wise,Julie Andrews Christopher Plummer Eleanor Parker Richard Haydn,Biography/ Drama/ Family,172 min,All,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.
2001: A Space Odyssey,Stanley Kubrick,Keir Dullea Gary Lockwood William Sylvester Daniel Richter,Adventure/ Sci-Fi,149 min,12,After discovering a mysterious artifact buried beneath the Lunar surface/ mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.
Mary Poppins,Robert Stevenson,Julie Andrews Dick Van Dyke David Tomlinson Glynis Johns,Comedy/ Family/ Fantasy,139 min,All,In turn of the century London/ a magical nanny employs music and adventure to help two neglected children become closer to their father.
Toy Story,John Lasseter,Tom Hanks Tim Allen Don Rickles Jim Varney,Animation/ Adventure/ Comedy,81 min,All,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
Mulan,Tony Bancroft Barry Cook,Ming-Na Wen Eddie Murphy BD Wong Miguel Ferrer,Animation/ Adventure/ Family,88 min,All,To save her father from death in the army/ a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.
The Wizard of Oz,Victor Fleming George Cukor Mervyn LeRoy Norman Taurog Richard Thorpe King Vidor,Judy Garland Frank Morgan Ray Bolger Bert Lahr,Adventure/ Family/ Fantasy,102 min,All,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.
Willy Wonka & the Chocolate Factory,Mel Stuart,Gene Wilder Jack Albertson Peter Ostrum Roy Kinnear,Family/ Fantasy/ Musical,100 min,All,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
Finding Nemo,Andrew Stanton Lee Unkrich,Albert Brooks Ellen DeGeneres Alexander Gould Willem Dafoe,Animation/ Adventure/ Comedy,100 min,All,After his son is captured in the Great Barrier Reef and taken to Sydney/ a timid clownfish sets out on a journey to bring him home.
WALL·E,Andrew Stanton,Ben Burtt Elissa Knight Jeff Garlin Fred Willard,Animation/ Adventure/ Family,98 min,All,In the distant future/ a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.
Gone with the Wind,Victor Fleming George Cukor Sam Wood,Clark Gable Vivien Leigh Thomas Mitchell Barbara O'Neil,Drama/ History/ Romance,238 min,12,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
Monsters Inc.,Pete Docter David Silverman Lee Unkrich,Billy Crystal John Goodman Mary Gibbs Steve Buscemi,Animation/ Adventure/ Comedy,92 min,All,In order to power the city/ monsters have to scare children so that they scream. However/ the children are toxic to the monsters/ and after a child gets through/ 2 monsters realize things may not be what they think.
Hercules,Ron Clements John Musker,Tate Donovan Susan Egan James Woods Josh Keaton,Animation/ Adventure/ Comedy,93 min,All,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.
The Princess Diaries,Garry Marshall,Julie Andrews Anne Hathaway Hector Elizondo Heather Matarazzo,Comedy/ Family/ Romance,111 min,All,Mia Thermopolis has just found out that she is the heir apparent to the throne of Genovia. With her friends Lilly and Michael Moscovitz in tow/ she tries to navigate through the rest of her sixteenth year.
The Emperor's New Groove,Mark Dindal,David Spade John Goodman Eartha Kitt Patrick Warburton,Animation/ Adventure/ Comedy,78 min,All,Emperor Kuzco is turned into a llama by his ex-administrator Yzma/ and must now regain his throne with the help of Pacha/ the gentle llama herder.
A Bug's Life,John Lasseter Andrew Stanton,Kevin Spacey Dave Foley Julia Louis-Dreyfus Hayden Panettiere,Animation/ Adventure/ Comedy,95 min,All,"A misfit ant/ looking for ""warriors"" to save his colony from greedy grasshoppers/ recruits a group of bugs that turn out to be an inept circus troupe."
Cars 3,Brian Fee,Owen Wilson Cristela Alonzo Chris Cooper Nathan Fillion,Animation/ Adventure/ Comedy,102 min,All,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.
Toy Story 3,Lee Unkrich,Tom Hanks Tim Allen Joan Cusack Ned Beatty,Animation/ Adventure/ Comedy,103 min,All,The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college/ and it's up to Woody to convince the other toys that they weren't abandoned and to return home.
Aladdin,Ron Clements John Musker,Scott Weinger Robin Williams Linda Larkin Jonathan Freeman,Animation/ Adventure/ Comedy,90 min,All,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
The Little Mermaid,Ron Clements John Musker,Jodi Benson Samuel E. Wright Rene Auberjonois Christopher Daniel Barnes,Animation/ Family/ Fantasy,83 min,All,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.
Anastasia,Don Bluth Gary Goldman,Meg Ryan John Cusack Christopher Lloyd Kelsey Grammer,Animation/ Adventure/ Drama,94 min,All,The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother/ the Dowager Empress/ while the undead Rasputin seeks her death.
Beauty and the Beast,Gary Trousdale Kirk Wise,Paige O'Hara Robby Benson Jesse Corti Rex Everhart,Animation/ Family/ Fantasy,84 min,All,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
